phase,strategy,window_k,decay_lambda,use_fusion,use_decay,physics_bounds_mode,anomaly_score,smoothing_window,threshold_mode,auroc,auroc_ci_lo,auroc_ci_hi,auprc,best_f1,best_threshold,best_precision,best_recall,false_alarm_rate_per_day,auroc_fused_u,auroc_fused_d,auroc_max_d,auroc_max_u,auroc_mean_u,auroc_composite_ud,f1_at_f1opt,f1_at_q90,f1_at_q95,f1_at_q99,prec_at_q95,rec_at_q95,fpr_at_q95,prec_at_q99,rec_at_q99,fpr_at_q99
hyperparam,historical,24,2.0,True,True,domain,fused_u,1,f1_optimal_eval,0.7761,0.7434,0.8061,0.1607,0.2675,0.445,0.1734,0.5845,3.6988,0.7761,0.8131,0.8067,0.6854,0.6287,0.8136,0.2675,0.1156,0.1177,0.1217,0.0628,0.9452,0.7809,0.0651,0.9406,0.7479
hyperparam,historical,24,2.0,False,True,domain,fused_u,1,f1_optimal_eval,0.6854,0.4644,0.5415,0.0874,0.0997,0.91,0.0525,1.0,23.9879,0.6854,0.8067,0.8067,0.6854,0.6287,0.8073,0.0997,0.0996,0.0997,0.0997,0.0524,1.0,0.9997,0.0524,1.0,0.9997
hyperparam,physics,1,0.1,True,True,domain,fused_u,1,f1_optimal_eval,0.7058,0.6536,0.7364,0.1184,0.2209,0.465,0.1346,0.6164,5.2633,0.7058,0.724,0.724,0.7058,0.6088,0.7377,0.2209,0.1167,0.1175,0.1237,0.0631,0.8539,0.7019,0.0668,0.8311,0.642
hyperparam,physics,1,0.1,False,True,domain,fused_u,1,f1_optimal_eval,0.7058,0.6536,0.7364,0.1184,0.2209,0.465,0.1346,0.6164,5.2633,0.7058,0.724,0.724,0.7058,0.6088,0.7377,0.2209,0.1167,0.1175,0.1237,0.0631,0.8539,0.7019,0.0668,0.8311,0.642
hyperparam,physics,1,0.25,True,True,domain,fused_u,1,f1_optimal_eval,0.7058,0.6536,0.7364,0.1184,0.2209,0.465,0.1346,0.6164,5.2633,0.7058,0.724,0.724,0.7058,0.6088,0.7377,0.2209,0.1167,0.1175,0.1237,0.0631,0.8539,0.7019,0.0668,0.8311,0.642
hyperparam,physics,1,0.25,False,True,domain,fused_u,1,f1_optimal_eval,0.7058,0.6536,0.7364,0.1184,0.2209,0.465,0.1346,0.6164,5.2633,0.7058,0.724,0.724,0.7058,0.6088,0.7377,0.2209,0.1167,0.1175,0.1237,0.0631,0.8539,0.7019,0.0668,0.8311,0.642
hyperparam,physics,1,0.5,True,True,domain,fused_u,1,f1_optimal_eval,0.7058,0.6536,0.7364,0.1184,0.2209,0.465,0.1346,0.6164,5.2633,0.7058,0.724,0.724,0.7058,0.6088,0.7377,0.2209,0.1167,0.1175,0.1237,0.0631,0.8539,0.7019,0.0668,0.8311,0.642
hyperparam,physics,1,0.5,False,True,domain,fused_u,1,f1_optimal_eval,0.7058,0.6536,0.7364,0.1184,0.2209,0.465,0.1346,0.6164,5.2633,0.7058,0.724,0.724,0.7058,0.6088,0.7377,0.2209,0.1167,0.1175,0.1237,0.0631,0.8539,0.7019,0.0668,0.8311,0.642
hyperparam,physics,1,1.0,True,True,domain,fused_u,1,f1_optimal_eval,0.7058,0.6536,0.7364,0.1184,0.2209,0.465,0.1346,0.6164,5.2633,0.7058,0.724,0.724,0.7058,0.6088,0.7377,0.2209,0.1167,0.1175,0.1237,0.0631,0.8539,0.7019,0.0668,0.8311,0.642
hyperparam,physics,1,1.0,False,True,domain,fused_u,1,f1_optimal_eval,0.7058,0.6536,0.7364,0.1184,0.2209,0.465,0.1346,0.6164,5.2633,0.7058,0.724,0.724,0.7058,0.6088,0.7377,0.2209,0.1167,0.1175,0.1237,0.0631,0.8539,0.7019,0.0668,0.8311,0.642
