strategy,window_k,decay_lambda,use_fusion,use_decay,physics_bounds_mode,auroc,auroc_ci_lo,auroc_ci_hi,auprc,best_f1,best_threshold,false_alarm_rate_per_day
physics,12,0.25,False,True,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,12,0.5,True,True,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,12,0.5,False,True,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,12,1.0,True,True,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,12,1.0,False,True,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,12,2.0,True,True,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,12,2.0,False,True,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,24,0.1,True,True,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,24,0.1,False,True,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,24,0.25,True,True,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,24,0.25,False,True,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,24,0.5,True,True,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,24,0.5,False,True,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,24,1.0,True,True,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,24,1.0,False,True,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,24,2.0,True,True,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,24,2.0,False,True,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
composite,1,0.1,True,True,calibration_percentile,0.6715,0.6401,0.7062,0.0902,0.1877,0.49,1.5402
composite,1,0.1,False,True,calibration_percentile,0.6715,0.6401,0.7062,0.0902,0.1877,0.49,1.5402
composite,1,0.25,True,True,calibration_percentile,0.6715,0.6401,0.7062,0.0902,0.1877,0.49,1.5402
composite,1,0.25,False,True,calibration_percentile,0.6715,0.6401,0.7062,0.0902,0.1877,0.49,1.5402
composite,1,0.5,True,True,calibration_percentile,0.6715,0.6401,0.7062,0.0902,0.1877,0.49,1.5402
composite,1,0.5,False,True,calibration_percentile,0.6715,0.6401,0.7062,0.0902,0.1877,0.49,1.5402
composite,1,1.0,True,True,calibration_percentile,0.6715,0.6401,0.7062,0.0902,0.1877,0.49,1.5402
composite,1,1.0,False,True,calibration_percentile,0.6715,0.6401,0.7062,0.0902,0.1877,0.49,1.5402
composite,1,2.0,True,True,calibration_percentile,0.6715,0.6401,0.7062,0.0902,0.1877,0.49,1.5402
composite,1,2.0,False,True,calibration_percentile,0.6715,0.6401,0.7062,0.0902,0.1877,0.49,1.5402
composite,3,0.1,True,True,calibration_percentile,0.7552,0.7186,0.7887,0.2714,0.2626,0.21,2.4437
